system:index,IGBP,b0,b10,b100,b200,b30,b60,site,.geo
000066ca029f8fe8f203,DBF,33,33,27,28,30,28,DE-Lnf,"{""type"":""Point"",""coordinates"":[10.3678,51.3282]}"
0000c736cafadf6bf164,WET,41,41,39,37,39,38,DE-Zrk,"{""type"":""Point"",""coordinates"":[12.889000000000005,53.87590000000001]}"
00002551eb7c80296d93,WET,28,28,26,26,26,26,DE-Akm,"{""type"":""Point"",""coordinates"":[13.683399999999999,53.866200000000006]}"
0000f75f973033a0fa3e,CRO,29,29,30,29,30,30,DE-Seh,"{""type"":""Point"",""coordinates"":[6.449699999999999,50.870599999999996]}"
0000c0a180e9df8d78d3,CRO,31,31,29,28,30,29,DE-RuS,"{""type"":""Point"",""coordinates"":[6.447199999999998,50.8659]}"
0000e372c23b7e81fd6d,GRA,40,39,32,32,37,33,DE-RuR,"{""type"":""Point"",""coordinates"":[6.304099999999998,50.621900000000004]}"
0000b7e64ac4316611aa,MF,36,35,28,28,33,31,BE-Vie,"{""type"":""Point"",""coordinates"":[5.9981,50.3051]}"
000026eed9451e24203f,CRO,27,26,26,26,25,25,BE-Lon,"{""type"":""Point"",""coordinates"":[4.7461,50.5516]}"
000097e0875290b4c12e,MF,27,25,20,20,22,21,BE-Bra,"{""type"":""Point"",""coordinates"":[4.5206,51.30919999999999]}"
000042258e3c23d135ba,GRA,45,43,44,44,42,43,NL-Hor,"{""type"":""Point"",""coordinates"":[5.0713,52.24040000000001]}"
00004252e9ac13ddc193,ENF,35,34,26,26,29,27,NL-Loo,"{""type"":""Point"",""coordinates"":[5.7436,52.16660000000001]}"
0000306ae99a60e3918c,DBF,34,33,30,30,31,30,FR-Fon,"{""type"":""Point"",""coordinates"":[2.7801,48.476400000000005]}"
0000258b62b8e910a650,CRO,26,26,27,27,26,27,FR-Gri,"{""type"":""Point"",""coordinates"":[1.9519000000000009,48.84420000000001]}"
000056102a95f24267a2,ENF,27,24,19,19,22,20,CA-Qfo,"{""type"":""Point"",""coordinates"":[-74.3421,49.69250000000001]}"
000033d3995f0857b43b,DBF,24,20,17,16,18,17,US-UMB,"{""type"":""Point"",""coordinates"":[-84.71379999999999,45.559799999999996]}"
00002b2d0d8f79366624,DBF,23,19,16,15,18,16,US-UMd,"{""type"":""Point"",""coordinates"":[-84.6975,45.5625]}"
0000873a17f6f1589464,MF,24,21,15,15,20,16,CA-Gro,"{""type"":""Point"",""coordinates"":[-82.1556,48.21670000000001]}"
000067ac7ba3f36dfb00,WET,25,20,15,15,18,16,US-Los,"{""type"":""Point"",""coordinates"":[-89.9792,46.082699999999996]}"
00008dc212e05c52a7c6,MF,24,21,11,11,18,13,US-Syv,"{""type"":""Point"",""coordinates"":[-89.3477,46.242]}"
00006e00d2ff5b2b4f20,WET,50,48,41,41,47,43,DK-NuF,"{""type"":""Point"",""coordinates"":[-51.3861,64.1308]}"
00006aca7a1c7bd01254,GRA,45,45,41,41,44,41,DK-ZaH,"{""type"":""Point"",""coordinates"":[-20.5503,74.4732]}"
0000bd056195f094a9a6,WET,47,48,50,50,51,50,DK-ZaF,"{""type"":""Point"",""coordinates"":[-20.5545,74.4814]}"
00005a3f69bef0a2f5c2,WET,53,53,49,49,53,51,US-Atq,"{""type"":""Point"",""coordinates"":[-157.4089,70.4696]}"
000010436e9072a9e8ee,WET,45,43,43,43,44,43,US-Ivo,"{""type"":""Point"",""coordinates"":[-155.7503,68.4865]}"
00002c76feee72c8d669,ENF,38,37,26,27,33,28,US-Prr,"{""type"":""Point"",""coordinates"":[-147.4876,65.1237]}"
0000ebeaf59c97689f4d,OSH,28,25,18,18,21,19,CA-NS7,"{""type"":""Point"",""coordinates"":[-99.9483,56.635799999999996]}"
0000eb23e4c0e40def3e,OSH,30,28,22,22,25,22,CA-NS6,"{""type"":""Point"",""coordinates"":[-98.96440000000001,55.91669999999999]}"
0000b504cdeec303fae2,ENF,24,21,18,18,21,19,CA-NS5,"{""type"":""Point"",""coordinates"":[-98.485,55.8631]}"
000080fb69cb754474fd,ENF,31,29,25,24,27,25,CA-NS2,"{""type"":""Point"",""coordinates"":[-98.52469999999998,55.905800000000006]}"
00002c7dfcfcb0b704a7,ENF,30,28,24,24,26,24,CA-Man,"{""type"":""Point"",""coordinates"":[-98.4808,55.879599999999996]}"
0000c5dab09538fccf55,ENF,26,24,20,20,22,21,CA-NS1,"{""type"":""Point"",""coordinates"":[-98.4839,55.8792]}"
0000aa9634e2b8594e87,ENF,29,26,21,21,25,22,CA-NS3,"{""type"":""Point"",""coordinates"":[-98.3822,55.9117]}"
000083e9aa696e6d4670,ENF,29,26,21,21,25,22,CA-NS4,"{""type"":""Point"",""coordinates"":[-98.3822,55.9117]}"
00000708105eb82a7aca,DBF,26,25,17,17,22,18,US-Wi1,"{""type"":""Point"",""coordinates"":[-91.2329,46.73049999999999]}"
0000022d806e1ebe05a8,DBF,25,24,16,16,21,17,US-Wi8,"{""type"":""Point"",""coordinates"":[-91.2524,46.72229999999999]}"
0000626435c28a573ca2,ENF,28,27,14,14,22,16,US-Wi4,"{""type"":""Point"",""coordinates"":[-91.1663,46.73930000000001]}"
0000f106e3d08138cdc1,ENF,23,19,13,13,16,14,US-Wi2,"{""type"":""Point"",""coordinates"":[-91.1528,46.68689999999999]}"
0000fde702292fa335cf,ENF,29,27,19,19,24,20,US-Wi0,"{""type"":""Point"",""coordinates"":[-91.08140000000002,46.6188]}"
0000987f9042382c8468,ENF,29,27,19,19,24,20,US-Wi9,"{""type"":""Point"",""coordinates"":[-91.08140000000002,46.6188]}"
0000432937447a2237b2,ENF,30,27,18,17,23,18,US-Wi5,"{""type"":""Point"",""coordinates"":[-91.0858,46.6531]}"
0000752dd4e5ab1eeba3,DBF,25,18,12,12,16,13,US-Wi3,"{""type"":""Point"",""coordinates"":[-91.09870000000001,46.634699999999995]}"
00001e01d85a26a4ab15,OSH,30,27,20,20,24,21,US-Wi7,"{""type"":""Point"",""coordinates"":[-91.06929999999998,46.64909999999999]}"
000060a47764a723ea95,MF,21,15,9,9,13,10,US-PFa,"{""type"":""Point"",""coordinates"":[-90.2723,45.94590000000002]}"
00007d6aac582f425edd,DBF,20,18,10,10,15,12,US-WCr,"{""type"":""Point"",""coordinates"":[-90.07990000000001,45.8059]}"
00007b529ca7f9bb5acc,OSH,27,25,19,20,21,19,US-Wi6,"{""type"":""Point"",""coordinates"":[-91.2982,46.6249]}"
0000e8e186cf25d95bad,ENF,27,25,16,16,23,17,CA-Obs,"{""type"":""Point"",""coordinates"":[-105.1178,53.9872]}"
00006511a2704b03a72a,OSH,30,26,18,19,24,19,CA-SF3,"{""type"":""Point"",""coordinates"":[-106.0053,54.0916]}"
00000d5545f64598a09b,ENF,28,23,18,19,21,19,CA-SF2,"{""type"":""Point"",""coordinates"":[-105.87750000000003,54.25390000000001]}"
000052662cd858c97e98,DBF,22,19,12,12,17,14,CA-Oas,"{""type"":""Point"",""coordinates"":[-106.1978,53.62890000000001]}"
0000477cec5885f965a3,ENF,26,25,21,21,24,22,CA-SF1,"{""type"":""Point"",""coordinates"":[-105.81760000000003,54.48499999999999]}"
000014878afffddafdfa,ENF,33,31,30,32,29,29,US-Me4,"{""type"":""Point"",""coordinates"":[-121.62239999999998,44.4992]}"
0000c4dc63c54b5f9f96,ENF,31,30,31,31,31,31,US-Me1,"{""type"":""Point"",""coordinates"":[-121.50000000000003,44.57939999999999]}"
