system:index,IGBP,b0,b10,b100,b200,b30,b60,site,.geo
000056102756d31d1129,GRA,62,61,63,68,59,60,US-IB2,"{""type"":""Point"",""coordinates"":[-88.24099999999999,41.8406]}"
00002835054df40641d7,ENF,50,51,53,55,51,52,CA-TP4,"{""type"":""Point"",""coordinates"":[-80.3574,42.71020000000001]}"
00003588e2f23330ad38,ENF,54,54,57,59,55,56,CA-TP3,"{""type"":""Point"",""coordinates"":[-80.3483,42.7068]}"
0000f61b86d516990066,ENF,61,61,67,69,62,64,CA-TP2,"{""type"":""Point"",""coordinates"":[-80.4588,42.7744]}"
00006d179be677a12de8,ENF,61,61,67,68,61,63,CA-TP1,"{""type"":""Point"",""coordinates"":[-80.55950000000001,42.660900000000005]}"
000059cccbb0254ff5fa,DBF,62,62,67,69,62,63,CA-TPD,"{""type"":""Point"",""coordinates"":[-80.5577,42.6353]}"
0000682e96f8077ea41e,WET,59,59,62,64,60,61,US-ORv,"{""type"":""Point"",""coordinates"":[-83.0183,40.020100000000006]}"
00000ff766f2eb768032,CRO,65,65,70,72,65,68,US-CRT,"{""type"":""Point"",""coordinates"":[-83.3471,41.6285]}"
000068f0f9c83a243109,WET,55,55,60,60,56,59,US-WPT,"{""type"":""Point"",""coordinates"":[-82.9962,41.46459999999999]}"
000002ab805c65fd35f0,DBF,58,57,62,65,57,58,US-Oho,"{""type"":""Point"",""coordinates"":[-83.8438,41.554500000000004]}"
0000618f02a3af193d09,DBF,52,51,51,52,51,50,US-MMS,"{""type"":""Point"",""coordinates"":[-86.4131,39.3232]}"
00004cf62fe23fb6ce76,GRA,52,51,52,54,50,51,US-Goo,"{""type"":""Point"",""coordinates"":[-89.8735,34.25470000000001]}"
00006652e207827bba3e,ENF,53,53,55,56,53,55,US-KS1,"{""type"":""Point"",""coordinates"":[-80.6709,28.4583]}"
0000fdbedd108973f707,CSH,58,59,63,63,62,62,US-KS2,"{""type"":""Point"",""coordinates"":[-80.6715,28.608600000000003]}"
00008d87a079823e73d8,DBF,44,45,48,50,47,48,US-Ha1,"{""type"":""Point"",""coordinates"":[-72.17150000000001,42.5378]}"
0000010a375a70902d46,EBF,44,44,48,48,45,47,GF-Guy,"{""type"":""Point"",""coordinates"":[-52.9249,5.2787999999999995]}"
00007b286f00cf543892,GRA,55,55,56,56,55,56,PA-SPs,"{""type"":""Point"",""coordinates"":[-79.6314,9.3138]}"
0000594c8a4a402bee09,DBF,58,58,58,58,58,58,PA-SPn,"{""type"":""Point"",""coordinates"":[-79.6346,9.3181]}"
00003d562295c229fd04,EBF,43,43,45,46,44,45,BR-Sa3,"{""type"":""Point"",""coordinates"":[-54.9714,-3.018]}"
000073efd6338a23d2b6,EBF,43,43,46,46,43,45,BR-Sa1,"{""type"":""Point"",""coordinates"":[-54.95889999999998,-2.8566999999999996]}"
0000aad3c8be618e2dec,ENF,44,44,49,50,48,48,AR-Vir,"{""type"":""Point"",""coordinates"":[-56.1886,-28.2395]}"
000034845f790def9e53,MF,76,77,81,81,78,80,AR-SLu,"{""type"":""Point"",""coordinates"":[-66.4598,-33.4648]}"
