system:index,IGBP,b0,b10,b100,b200,b30,b60,site,.geo
0000e4be63405d7c775c,GRA,86,118,137,140,131,141,RU-Sam,"{""type"":""Point"",""coordinates"":[126.4978,72.3733]}"
0000eca2159f7eb9994f,DNF,71,106,128,154,118,123,RU-SkP,"{""type"":""Point"",""coordinates"":[129.168,62.254999999999995]}"
0000b04a29e23c18b9c6,GRA,107,115,144,146,128,138,RU-Ha1,"{""type"":""Point"",""coordinates"":[90.0022,54.725200000000015]}"
000002aee1e1303d4d79,GRA,142,143,154,154,146,150,CN-Du3,"{""type"":""Point"",""coordinates"":[116.28090000000005,42.0551]}"
000044409fccd4fcd0de,GRA,141,142,153,154,147,151,CN-Du2,"{""type"":""Point"",""coordinates"":[116.28360000000004,42.0467]}"
00001db64f97bf4c59d5,MF,113,120,153,155,133,146,CN-Cha,"{""type"":""Point"",""coordinates"":[128.0958,42.4025]}"
0000200a68a43e48cf9e,GRA,140,142,151,151,147,151,CN-Cng,"{""type"":""Point"",""coordinates"":[123.50919999999999,44.5934]}"
00009583467828c3d1f3,DBF,80,93,134,138,105,127,JP-MBF,"{""type"":""Point"",""coordinates"":[142.3186,44.3869]}"
0000c35b3591338403d8,MF,108,112,139,140,123,133,JP-SMF,"{""type"":""Point"",""coordinates"":[137.0788,35.26169999999999]}"
000083ef7e50a5f2996a,EBF,111,112,128,128,119,125,AU-Rob,"{""type"":""Point"",""coordinates"":[145.6301,-17.117499999999993]}"
0000c7131a6e1c7dc052,SAV,140,142,144,146,142,145,AU-Cpr,"{""type"":""Point"",""coordinates"":[140.5891,-34.0021]}"
000084d60abea8a3c946,DBF,139,138,145,146,143,144,AU-Lox,"{""type"":""Point"",""coordinates"":[140.6551,-34.4704]}"
00005d1ac8d484892293,EBF,93,104,127,129,115,124,AU-Wom,"{""type"":""Point"",""coordinates"":[144.0944,-37.4222]}"
00000ac82d766475c115,EBF,109,114,137,139,125,133,AU-Wac,"{""type"":""Point"",""coordinates"":[145.1878,-37.4259]}"
00001b398b6896bf1311,EBF,119,121,131,131,124,129,AU-Whr,"{""type"":""Point"",""coordinates"":[145.0294,-36.6732]}"
0000aa12643ab376d045,EBF,124,126,145,148,136,144,AU-Cum,"{""type"":""Point"",""coordinates"":[150.7225,-33.6133]}"
0000531579d743d37f22,GRA,148,152,155,157,152,155,AU-Ync,"{""type"":""Point"",""coordinates"":[146.2907,-34.9893]}"
000096c2a3b630cbc166,EBF,86,94,128,129,113,123,AU-Tum,"{""type"":""Point"",""coordinates"":[148.1517,-35.65659999999998]}"
0000fef440029bfce5ee,GRA,140,143,150,150,148,149,AU-Rig,"{""type"":""Point"",""coordinates"":[145.57589999999996,-36.6499]}"
00009753883915d787c9,GRA,137,139,142,143,141,143,AU-Emr,"{""type"":""Point"",""coordinates"":[148.4746,-23.8587]}"
00007f2e43d8df237e7b,WET,127,131,141,141,139,140,US-Myb,"{""type"":""Point"",""coordinates"":[-121.76509999999999,38.0498]}"
0000a0f700b7b4e19582,CRO,152,152,158,159,158,155,US-Twt,"{""type"":""Point"",""coordinates"":[-121.65300000000002,38.1087]}"
000025378c1f17e380a0,CRO,151,150,159,158,155,156,US-Tw3,"{""type"":""Point"",""coordinates"":[-121.6467,38.1159]}"
0000eacddb8dad28d0a4,CRO,140,138,141,142,142,141,US-Tw2,"{""type"":""Point"",""coordinates"":[-121.64329999999998,38.1047]}"
000035be9942c6c4eb39,WET,142,142,151,152,150,149,US-Tw1,"{""type"":""Point"",""coordinates"":[-121.64690000000002,38.1074]}"
00004700406bc4231d0e,WET,143,142,145,146,145,144,US-Tw4,"{""type"":""Point"",""coordinates"":[-121.6414,38.103]}"
