system:index,IGBP,b0,b10,b100,b200,b30,b60,site,.geo
000001aa37deb709687d,WET,7,7,4,4,5,5,AU-Fog,"{""type"":""Point"",""coordinates"":[131.3072,-12.5452]}"
00000dc6a8d173fb4e34,EBF,5,6,1,1,2,2,MY-PSO,"{""type"":""Point"",""coordinates"":[102.3062,2.973]}"
0000e17fc3af1c7c50e6,ENF,3,3,1,1,2,1,CN-Qia,"{""type"":""Point"",""coordinates"":[115.05809999999997,26.7414]}"
0000309c2d3308b1a282,GRA,1,1,0,0,1,0,CN-Sw2,"{""type"":""Point"",""coordinates"":[111.89709999999998,41.7902]}"
0000f668be56ee5149ad,WET,9,9,3,3,6,4,CN-Ha2,"{""type"":""Point"",""coordinates"":[101.3269,37.6086]}"
000068cab18922cadd90,GRA,11,8,2,2,5,2,CN-HaM,"{""type"":""Point"",""coordinates"":[101.18,37.36999999999999]}"
0000c458d9ea53ff9503,EBF,8,8,4,4,5,4,CN-Din,"{""type"":""Point"",""coordinates"":[112.53609999999999,23.173299999999998]}"
000043ea0dfb82d7f7f6,GRA,3,3,1,1,2,1,CN-Dan,"{""type"":""Point"",""coordinates"":[91.06639999999999,30.497799999999987]}"
000067a9f50902bc9cfd,CSH,45,38,27,28,27,28,RU-Vrk,"{""type"":""Point"",""coordinates"":[62.94049999999999,67.0547]}"
00008bb0bf4d4bd9cc61,SNO,27,25,13,13,16,14,NO-Blv,"{""type"":""Point"",""coordinates"":[11.831100000000001,78.9216]}"
0000e510c5f90ba1cd50,WET,30,26,13,13,20,14,NO-Adv,"{""type"":""Point"",""coordinates"":[15.923,78.186]}"
00003a7832d214ef1b34,WET,34,32,14,13,15,14,FI-Lom,"{""type"":""Point"",""coordinates"":[24.209199999999992,67.9972]}"
00008657a82835a8a143,ENF,20,18,8,7,10,9,FI-Sod,"{""type"":""Point"",""coordinates"":[26.6378,67.3619]}"
0000b08522f1f7a26eee,WET,,,,,,,SE-St1,"{""type"":""Point"",""coordinates"":[19.0503,68.3541]}"
0000e9a8e7b3bce9544a,CRO,7,8,7,6,9,7,DK-Fou,"{""type"":""Point"",""coordinates"":[9.587199999999998,56.48420000000001]}"
00005e4095735cef50bf,GRA,9,9,10,11,13,10,DK-Eng,"{""type"":""Point"",""coordinates"":[12.191799999999997,55.690499999999986]}"
000089bd84f68cb5c9b4,DBF,12,13,6,6,8,7,DK-Sor,"{""type"":""Point"",""coordinates"":[11.6446,55.4859]}"
000096ef9e15f299500b,ENF,35,34,12,13,16,14,FI-Let,"{""type"":""Point"",""coordinates"":[23.95970000000001,60.641799999999996]}"
000008e770525312ecf9,CRO,18,18,7,7,8,7,FI-Jok,"{""type"":""Point"",""coordinates"":[23.513500000000008,60.8986]}"
0000feb1f20cc911819e,ENF,30,28,14,13,19,17,FI-Hyy,"{""type"":""Point"",""coordinates"":[24.295,61.8475]}"
00004c4c02923b88d3da,ENF,21,20,4,2,8,5,RU-Fyo,"{""type"":""Point"",""coordinates"":[32.9221,56.4615]}"
00005439ebbad8c25139,WET,7,6,4,3,4,4,DE-Spw,"{""type"":""Point"",""coordinates"":[14.033699999999993,51.892300000000006]}"
00006341baebb317ba66,GRA,10,10,2,2,6,3,DE-Gri,"{""type"":""Point"",""coordinates"":[13.5125,50.94950000000001]}"
0000c59070399f9f82ca,ENF,11,11,1,1,4,2,DE-Tha,"{""type"":""Point"",""coordinates"":[13.5669,50.96360000000001]}"
