system:index,IGBP,b0,b10,b100,b200,b30,b60,site,.geo
000096c2a3b630cbc166,EBF,56,55,50,54,51,49,AU-Tum,"{""type"":""Point"",""coordinates"":[148.1517,-35.65659999999998]}"
0000fef440029bfce5ee,GRA,62,60,47,48,53,47,AU-Rig,"{""type"":""Point"",""coordinates"":[145.57589999999996,-36.6499]}"
00009753883915d787c9,GRA,39,38,36,36,36,35,AU-Emr,"{""type"":""Point"",""coordinates"":[148.4746,-23.8587]}"
00007f2e43d8df237e7b,WET,32,32,31,34,31,30,US-Myb,"{""type"":""Point"",""coordinates"":[-121.76509999999999,38.0498]}"
0000a0f700b7b4e19582,CRO,38,38,38,41,38,38,US-Twt,"{""type"":""Point"",""coordinates"":[-121.65300000000002,38.1087]}"
000025378c1f17e380a0,CRO,34,33,34,36,33,33,US-Tw3,"{""type"":""Point"",""coordinates"":[-121.6467,38.1159]}"
0000eacddb8dad28d0a4,CRO,35,34,36,38,33,34,US-Tw2,"{""type"":""Point"",""coordinates"":[-121.64329999999998,38.1047]}"
000035be9942c6c4eb39,WET,32,32,35,37,34,34,US-Tw1,"{""type"":""Point"",""coordinates"":[-121.64690000000002,38.1074]}"
00004700406bc4231d0e,WET,36,35,36,40,35,37,US-Tw4,"{""type"":""Point"",""coordinates"":[-121.6414,38.103]}"
0000981f289943bc12db,CRO,49,49,50,54,49,49,US-Lin,"{""type"":""Point"",""coordinates"":[-119.84230000000001,36.3566]}"
000030828eadb305ce97,ENF,51,50,46,47,49,47,US-Blo,"{""type"":""Point"",""coordinates"":[-120.6328,38.8953]}"
0000b24631442ade5b34,GRA,39,39,35,38,35,34,US-Var,"{""type"":""Point"",""coordinates"":[-120.9507,38.41330000000001]}"
0000284eb6edc818db7b,WSA,40,40,37,40,38,36,US-Ton,"{""type"":""Point"",""coordinates"":[-120.96600000000002,38.431599999999996]}"
0000661d9dc11b3552e4,OSH,52,52,55,57,51,52,US-SRC,"{""type"":""Point"",""coordinates"":[-110.8395,31.908300000000008]}"
0000dc659a4bc464d935,WSA,51,50,51,53,48,49,US-SRM,"{""type"":""Point"",""coordinates"":[-110.86610000000002,31.8214]}"
00004823a2bfc7474b1b,GRA,54,53,52,53,51,52,US-SRG,"{""type"":""Point"",""coordinates"":[-110.82770000000002,31.789400000000008]}"
00002f1105c7a6945a0d,OSH,57,54,55,56,52,52,US-Whs,"{""type"":""Point"",""coordinates"":[-110.05220000000001,31.74380000000001]}"
00008100a44fd2e75363,GRA,58,53,57,57,52,55,US-Wkg,"{""type"":""Point"",""coordinates"":[-109.94190000000003,31.7365]}"
00000f7de506e779ede0,GRA,58,56,58,60,57,57,US-Cop,"{""type"":""Point"",""coordinates"":[-109.39000000000003,38.08999999999999]}"
0000793ce8039486bd6d,OSH,48,45,49,49,45,46,US-Sta,"{""type"":""Point"",""coordinates"":[-106.8024,41.3966]}"
00007869346c88fae64b,ENF,52,53,64,62,58,61,US-GBT,"{""type"":""Point"",""coordinates"":[-106.2397,41.365800000000014]}"
